"data"	"fitxer"	"sessió"	"id_sond"	"realit"	"hora"	"dur.min."	"alti.m."	"press.hPa."	"rellanç"	"llanç.fall"	"activ"	"sond_voladores"	"errors"	"valv.fall"
"2019-04-5"	"19040700.log"	"11:00"	"810211134 "	1	"12:44:08"	"103.4"	"28763"	13.8	0	0	1	1	NA	NA
"2019-04-5"	"19040700.log"	"23:00"	"810211138 "	1	"00:34:01"	"93.28"	"25282"	23.5	0	0	1	1	NA	NA
"2019-04-6"	"19040800.log"	"11:00"	"810211102 "	1	"12:35:05"	"94.3"	"27042"	17.9	0	0	1	1	NA	NA
"2019-04-6"	"19040800.log"	"23:00"	"810211098 "	1	"01:11:11"	"130"	"29735"	11.7	0	0	1	1	NA	NA
"2019-04-7"	"19040900.log"	"11:00"	" 810211111"	1	"12:39:50"	"98.33"	"27271"	17.4	0	0	1	1	NA	NA
"2019-04-7"	"19040900.log"	"23:00"	" 205212114"	0	NA	NA	NA	NA	NA	1	2	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B11"
"2019-04-7"	"19040900.log"	"23:00"	" 810210986"	1	"00:37:00"	"96.31"	"24647"	26.2	1	1	2	1	NA	NA
"2019-04-8"	"19041000.log"	"11:00"	"810211132 "	1	"12:41:03"	"100.3"	"27355"	17.2	0	0	1	1	NA	NA
"2019-04-8"	"19041000.log"	"23:00"	"810211093 "	1	"00:46:13"	"105.4"	"25391"	23.3	0	0	1	1	NA	NA
"2019-04-9"	"19041100.log"	"11:00"	"810211205 "	1	"12:40:06"	"99.36"	"27475"	16.9	0	0	1	1	NA	NA
"2019-04-9"	"19041100.log"	"23:00"	"810211100 "	1	"00:34:58"	"94.29"	"25382"	23.3	0	0	1	1	NA	NA
"2019-04-10"	"19041200.log"	"11:00"	"810211095 "	1	"12:57:21"	"116.6"	"30486"	10.6	0	0	1	1	NA	NA
"2019-04-10"	"19041200.log"	"23:00"	"810211218 "	1	"00:48:09"	"107.4"	"29565"	12.2	0	0	1	1	NA	NA
"2019-04-11"	"19041300.log"	"11:00"	"810211212 "	1	"12:46:19"	"105.4"	"29783"	11.9	0	0	1	1	NA	NA
"2019-04-11"	"19041300.log"	"23:00"	"810211010 "	1	"23:41:14"	"40.56"	"12680"	170	0	0	1	1	NA	NA
"2019-04-12"	"19041400.log"	"11:00"	"810211019 "	1	"11:44:18"	"43.58"	"13924"	141	0	0	1	1	NA	NA
"2019-04-12"	"19041400.log"	"23:00"	"810211015 "	1	"00:24:52"	"84.15"	"24110"	28.7	0	0	1	1	NA	NA
"2019-04-13"	"19041500.log"	"11:00"	" 810211001"	1	"12:41:22"	"100.3"	"28956"	13.6	0	0	1	1	NA	NA
"2019-04-13"	"19041500.log"	"23:00"	" 810211096"	1	"00:49:12"	"108.4"	"27957"	16	0	0	1	1	NA	NA
"2019-04-14"	"19041600.log"	"11:00"	" 810211136"	1	"12:19:49"	"79.08"	"12070"	197	0	0	1	1	NA	NA
"2019-04-14"	"19041600.log"	"23:00"	"810211004 "	1	"00:44:08"	"103.4"	"28629"	14.4	0	0	1	1	NA	NA
"2019-04-15"	"19041700.log"	"11:00"	"810211108 "	1	"12:41:07"	"100.3"	"29317"	13.2	0	0	1	1	NA	NA
"2019-04-15"	"19041700.log"	"23:00"	"810211006 "	1	"00:40:09"	"99.36"	"28538"	14.6	0	0	1	1	NA	NA
"2019-04-16"	"19041800.log"	"11:00"	"810211012 "	1	"12:19:46"	"79.08"	"20970"	47.1	0	0	1	1	NA	NA
"2019-04-16"	"19041800.log"	"23:00"	"810211014 "	1	"00:09:38"	"68.95"	"15409"	114	0	0	1	1	NA	NA
"2019-04-17"	"19041900.log"	"11:00"	"810211215 "	1	"12:28:56"	"88.26"	"25644"	22.8	0	0	1	1	NA	NA
"2019-04-17"	"19041900.log"	"23:00"	"810211094 "	1	"00:14:02"	"72.99"	"20763"	48.8	0	0	1	1	NA	NA
"2019-04-18"	"19042000.log"	"11:00"	"810211020 "	1	"12:44:06"	"103.4"	"30043"	11.7	0	0	1	1	NA	NA
"2019-04-18"	"19042000.log"	"23:00"	"810211217 "	1	"00:43:08"	"102.4"	"27766"	16.4	0	0	1	1	NA	NA
"2019-04-19"	"19042100.log"	"11:00"	"810211066 "	1	"12:41:25"	"100.3"	"26856"	19	0	0	1	1	NA	NA
"2019-04-19"	"19042100.log"	"23:00"	"810210990 "	1	"00:44:08"	"103.4"	"29301"	12.9	0	0	1	1	NA	NA
"2019-04-20"	"19042200.log"	"11:00"	"810210994 "	1	"12:29:16"	"88.21"	"29168"	13.2	0	0	1	1	NA	NA
"2019-04-20"	"19042200.log"	"23:00"	" 810211216"	1	"00:20:50"	"80.10"	"21649"	42.2	0	0	1	1	NA	NA
"2019-04-21"	"19042300.log"	"11:00"	" 810211203"	1	"12:30:18"	"89.21"	"25472"	23.1	0	0	1	1	NA	NA
"2019-04-21"	"19042300.log"	"23:00"	" 810210988"	1	"00:24:05"	"83.13"	"18368"	70.7	0	0	1	1	NA	NA
"2019-04-22"	"19042400.log"	"11:00"	"810210985 "	1	"11:44:20"	"43.58"	"13030"	163	0	0	1	1	NA	NA
"2019-04-22"	"19042400.log"	"23:00"	"810211000 "	1	"00:31:02"	"90.23"	"11346"	211	0	0	1	1	NA	NA
"2019-04-23"	"19042500.log"	"11:00"	"810211031 "	1	"12:14:45"	"74.01"	"20460"	50.6	0	0	1	1	NA	NA
"2019-04-23"	"19042500.log"	"23:00"	"810211143 "	1	"00:15:43"	"75.01"	"19530"	58.5	0	0	1	1	NA	NA
"2019-04-24"	"19042600.log"	"11:00"	"810210987 "	1	"12:10:01"	"68.95"	"19943"	55.3	0	0	1	1	NA	NA
"2019-04-24"	"19042600.log"	"23:00"	"810210997 "	1	"00:56:22"	"115.5"	"30081"	11.8	0	0	1	1	NA	NA
"2019-04-25"	"19042700.log"	"11:00"	"810210991 "	1	"12:22:12"	"81.11"	"24247"	28.3	0	0	1	1	NA	NA
"2019-04-25"	"19042700.log"	"23:00"	"810210992 "	1	"01:07:27"	"126.7"	"31223"	10	0	0	1	1	NA	NA
"2019-04-26"	"19042800.log"	"11:00"	"810210998 "	1	"11:54:23"	"52.76"	"14833"	125	0	0	1	1	NA	NA
"2019-04-26"	"19042800.log"	"23:00"	"810211005 "	1	"00:35:03"	"94.29"	"29946"	11.9	0	0	1	1	NA	NA
"2019-04-27"	"19042900.log"	"11:00"	"810211003 "	1	"12:58:29"	"117.6"	"29664"	12.4	0	0	1	1	NA	NA
"2019-04-27"	"19042900.log"	"23:00"	"810211002 "	1	"00:32:01"	"91.23"	"24971"	25.2	0	0	1	1	NA	NA
"2019-04-28"	"19043000.log"	"11:00"	" 810211008"	1	"12:58:18"	"117.6"	"30852"	10.3	0	0	1	1	NA	NA
"2019-04-28"	"19043000.log"	"23:00"	" 810210993"	1	"00:08:34"	"67.91"	"19539"	59.4	0	0	1	1	NA	NA
"2019-04-28"	"19043000.log"	"11:00"	" 810211008"	1	"12:58:18"	"117.6"	"30852"	10.3	0	0	1	1	NA	NA
"2019-04-28"	"19043000.log"	"23:00"	" 810210993"	1	"00:08:34"	"67.91"	"19539"	59.4	0	0	1	1	NA	NA
