"Data"	"Hora"	"Error"
2018-07-19	"11:01:38"	"Message not generated (< 20 points) 264m 990.5hPa"
2018-08-04	"11:14:05"	"Temperature faillure 2918m 726.8hPa"
2018-08-04	"23:07:46"	"End before 300 hPa 2010m 809.2hPa"
2018-08-06	"23:03:46"	"End before 300 hPa 575m 951.8hPa"
2018-08-10	"11:02:19"	"No start detection by IR2010"
2018-08-16	"11:15:27"	"Balloon blocked"
2018-08-30	"22:50:34"	"SONDE NOT RECEIVED"
2018-09-02	"23:26:03"	"Temperature faillure 6706m 446.6hPa"
2018-09-06	"10:50:39"	"SONDE NOT RECEIVED"
2018-09-07	"11:34:07"	"Temperature faillure 8792m 331.9hPa"
2018-09-07	"11:34:48"	"SONDE NOT RECEIVED"
2018-09-28	"23:34:06"	"Temperature faillure 8518m 348.0hPa"
2018-10-03	"11:02:41"	"End before 300 hPa 473m 968.8hPa"
2018-10-12	"23:31:03"	"Temperature faillure 7908m 381.4hPa"
2018-10-14	"11:30:03"	"Temperature faillure 8117m 362.3hPa"
2018-10-18	"23:02:18"	"No start detection by IR2010"
2018-10-19	"00:07:49"	"End before 300 hPa 8964m 321.8hPa"
2018-10-19	"00:36:52"	"End before 300 hPa 3454m 673.7hPa"
2018-10-26	"11:33:13"	"Temperature faillure 8489m 345.0hPa"
2018-10-31	"23:08:45"	"End before 300 hPa 2951m 702.0hPa"
2018-11-13	"23:26:00"	"End before 300 hPa 7788m 381.2hPa"
2018-11-21	"22:59:55"	"No gas"
2018-12-15	"10:52:12"	"Valve ejected, sonde switched"
2019-01-14	"23:10:54"	"No ICAR response"
2019-01-14	"23:25:16"	"No ICAR response"
2019-02-11	"10:52:17"	"Valve ejected, sonde switched"
2019-02-11	"22:52:47"	"Valve ejected, sonde switched"
2019-02-18	"23:27:00"	"End before 300 hPa 7175m 400.3hPa 5.1m/s"
2019-02-18	"23:27:30"	"SONDE NOT RECEIVED"
2019-02-19	"11:17:59"	"End before 300 hPa 2640m 740.5hPa 4.6m/s"
2019-02-19	"11:41:54"	"End before 300 hPa 2542m 749.7hPa 5.8m/s"
2019-02-20	"11:17:56"	"End before 300 hPa 5544m 505.6hPa 5.5m/s"
2019-02-23	"22:54:41"	"SONDE NOT RECEIVED"
2019-02-23	"22:54:11"	"Valve ejected, sonde switched"
2019-02-25	"22:52:13"	"Valve ejected, sonde switched"
2019-02-26	"10:50:36"	"SONDE NOT RECEIVED"
2019-03-02	"10:52:33"	"SONDE NOT RECEIVED"
2019-03-02	"10:52:04"	"Valve ejected, sonde switched"
2019-03-07	"10:50:36"	"SONDE NOT RECEIVED"
2019-03-08	"23:34:13"	"Temperature faillure 8914m 318.3hPa 4.8m/s"
2019-03-09	"22:50:35"	"SONDE NOT RECEIVED"
2019-03-14	"10:50:35"	"SONDE NOT RECEIVED"
2019-03-17	"11:04:54"	"Analysis aborted (< 2 points) 233m 973.0hPa 4.9m/s"
2019-03-20	"10:50:36"	"SONDE NOT RECEIVED"
2019-03-24	"22:50:36"	"SONDE NOT RECEIVED"
2019-03-30	"22:50:35"	"SONDE NOT RECEIVED"
2019-04-07	"22:50:36"	"SONDE NOT RECEIVED"
2019-05-05	"23:00:23"	"Roof opened too slowly" #refet manualment
2019-05-05	"23:00:28"	"Roof blocked (middle)" #refet manualment


2019-05-24	"23:59:31"	"End before 300 hPa 9077m 309.8hPa 2.4m/s"
2019-06-19	"23:04:45"	"End before 300 hPa 948m 909.3hPa 3.9m/s"
2019-06-22	"11:30:04"	"Temperature faillure 6959m 431.7hPa 4.6m/s"
2019-06-26	"23:18:15"	"End before 300 hPa 2306m 786.1hPa 1.1m/s"
2019-07-20	"11:12:13"	"End before 300 hPa 263m 988.1hPa 3.6m/s"
2019-08-09	"11:29:02"	"Temperature faillure 6814m 446.5hPa 4.7m/s"
2019-08-09	"11:48:43"	"End before 300 hPa 288m 980.7hPa 4.1m/s"
2019-08-11	"23:05:44"	"End before 300 hPa 1402m 864.2hPa 4.1m/s"
2019-08-20	"11:06:48"	"End before 300 hPa 1691m 838.7hPa 4.1m/s"
2019-08-26	"13:42:07"	"End before 300 hPa 4822m 572.4hPa 4.1m/s"
2019-08-26	"11:15:28"	"Balloon blocked"
2019-08-27	"11:13:14"	"End before 300 hPa 2871m 726.5hPa 3.7m/s"
2019-09-07	"11:23:24"	"End before 300 hPa 692m 942.7hPa 4.0m/s"
2019-09-07	"23:15:57"	"End before 300 hPa 1411m 865.1hPa 3.6m/s"
2019-09-07	"23:43:31"	"End before 300 hPa 3782m 646.3hPa 3.5m/s"
2019-09-08	"11:13:07"	"End before 300 hPa 2649m 741.4hPa 5.6m/s"
2019-09-08	"11:52:37"	"End before 300 hPa 7848m 376.0hPa 5.3m/s"
2019-09-08	"23:42:31"	"End before 300 hPa 8527m 342.9hPa 3.9m/s"
2019-09-10	"23:26:07"	"End before 300 hPa 3179m 690.3hPa 1.2m/s"
2019-09-10	"00:03:55"	"End before 300 hPa 3699m 646.6hPa 1.4m/s"
2019-09-26	"10:50:36"	"SONDE NOT RECEIVED"
2019-10-02	"23:41:17"	"End before 300 hPa 6879m 431.6hPa 3.8m/s"
2019-10-02	"00:38:54"	"End before 300 hPa 7642m 388.9hPa 4.1m/s"
2019-10-02	"11:15:28"	"Balloon blocked"
2019-10-03	"10:50:35"	"SONDE NOT RECEIVED"
2019-10-04	"11:31:18"	"Temperature faillure 7957m 376.3hPa 4.9m/s"
2019-10-04	"10:52:10"	"Valve ejected, sonde switched"


2019-10-15	"10:50:26"	"Humidity sensor KO"
2019-10-16	"22:50:35"	"SONDE NOT RECEIVED"
2019-10-17	"11:02:04"	"End before 300 hPa 356m 976.7hPa 1.0m/s"
2019-10-22	"23:49:41"	"End before 300 hPa 6338m 458.4hPa 2.7m/s"
